,fname,text
10,.online shop?order=name+asc,.online shop?order=name+asc.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordinamento - Nome - da A a Z Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
11,.online blog news 1,".online blog news 1.   News | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello     News Scopri le ultime novità su TAKOBI e Odoo    Odoo Days Italia 2023  Odoo Days Italia 2023   Gli Odoo Days sono un appuntamento a cui non è possibile mancare e anche quest’anno abbiamo deciso di partecipare c...  Antonella Romanini         — giugno 2023         — 65                 visualizzazioni            Odoo 16 tra novità e aggiornamenti  Come ogni anno Odoo SA ci stupisce con moltissime novità, e in occasione dell’uscita di Odoo 16 (Ottobre 2022), l'elenco delle migliorie arriva a 48...  Antonella Romanini         — febbraio 2023         — 353                 visualizzazioni            Odoo Experience  Non è un mistero che il nostro TAKOBI si basi su Odoo, *software open source* che seguiamo fin dal 2008 quando si chiamava ancora OpenERP. Fin d...  TAKOBI Odoo         — novembre 2022         — 206                 visualizzazioni           Chi siamo    Scrivi qui un breve testo per i nuovi visitatori che trovano il tuo sito web    grazie ai tuoi post di blog indicizzati su Google.   Rimani informato : Annulla iscrizione Iscriviti     Partecipa ai nostri canali social.     I nostri Blog News  Etichette  Archivi 2023 giugno1 febbraio1 2022 novembre1     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
12,.online shop?order=list price+asc,.online shop?order=list price+asc.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordinamento - Prezzo di catalogo: crescente Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
13,.online,".online.   TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello    Odoo application suite Una soluzione web unica e completa di tutte le funzionalità necessarie per gestire, monitorare e far crescere il tuo business.  PRENOTA UN APPUNTAMENTO    Esperti Odoo dal 2008 Il nostro team vanta un'esperienza decennale su Odoo. CHI SIAMO    Odoo partners Siamo partner Odoo e ti possiamo offrire Odoo Enterprise: funzionalità avanzate, aggiornamenti di versione, Hosting.  Associazione Odoo Italia Partner dell'Associazione Odoo Italia, attivi partecipanti e sviluppatori della localizzazione italiana di Odoo (contabilità e fiscalità), ti possiamo accompagnare al meglio nell'implementazione di Odoo nella tua azienda.  Odoo Community Association Membri della Odoo Community Association, collaboriamo con i massimi esperti di Odoo nel mondo per rendere questo software più potente e diffuso.            Gestisci più efficacemente il tuo business Semplifica e rendi più efficiente la gestione della tua attività attraverso l’ottimizzazione dei processi e la collaborazione da remoto. Tieni sotto controllo il tuo business Monitora costantemente i tuoi risultati attraverso report e statistiche sulle tue vendite, costi, etc. Fai crescere il tuo business Fai crescere il tuo business attraverso strumenti efficaci di marketing e vendita online.      Lorenzo Battistini Ingegnere, programmatore e sviluppatore, è un grande appassionato e sostenitore del software open source. Partecipa attivamente allo sviluppo di Odoo, è membro del direttivo dell'Associazione Odoo Italia, membro delegato della Odoo Community Association e rappresentante del project steering committee OCA Italy. CONTRIBUTI ODOO  Mario Riva Ingegnere, da oltre 15 anni si occupa di formazione e consulenza. Attratto dal mondo open source, prima nell'ambito web e poi in quello ERP, dal 2008 segue progetti di consulenza su Odoo e intrattiene Lorenzo con le sue freddure.  Simone Rubino Appassionato di programmazione e amante dei software open source, che gli permettono di scoprire il funzionamento delle applicazioni fino all'OSSo, ha scoperto Python diversi anni fa e poco dopo Odoo: da allora non l’ha più lasciato. Tra sviluppi, birre e revisioni, contribuisce al diffondersi di Odoo anche collaborando con Odoo Italia e con la Odoo Community Association. CONTRIBUTI ODOO  Alfredo Vittoria Da oltre 18 anni si occupa di consulenza alle aziende per la promozione dei servizi e la gestione dei clienti attraverso software gestionali e di analisi dei dati. Scopre Odoo nel 2018 e lo fa diventare il suo sistema di riferimento. Da sempre sostiene che la crescita di una azienda sia legata alla capacità di sfruttare al meglio i propri dati.  Michael Baldassarre Fan scatenato di Excel, con 14 anni alle spalle in consulenza fiscale contabile ed analisi di bilancio in numerose PMI. Nel 2018 ha realizzato la quotazione di EdiliziAcrobatica Spa in AIM, mercato alternativo del capitale gestito da Borsa Italiana.  Alessandra D`Avino Ex-Bocconi, ex-Microsoft ed ex-Sony, da 12 anni si occupa di marketing e comunicazione di cui 8 trascorsi a Londra lanciando campagne pubblicitarie in tutta Europa e sorseggiando molto tè.   PRENOTA UN APPUNTAMENTO                                                              Precedente Successivo   I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
14,.online shop?order=name+desc,.online shop?order=name+desc.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordinamento - Nome - da Z ad A Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
15,.online blog news 1?date begin=2023 06 01+00%3A00%3A00&date end=2023 07 01+00%3A00%3A00,.online blog news 1?date begin=2023 06 01+00%3A00%3A00&date end=2023 07 01+00%3A00%3A00.   News | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello     News Scopri le ultime novità su TAKOBI e Odoo    Odoo Days Italia 2023  Odoo Days Italia 2023   Gli Odoo Days sono un appuntamento a cui non è possibile mancare e anche quest’anno abbiamo deciso di partecipare c...  Antonella Romanini         — giugno 2023         — 65                 visualizzazioni           Chi siamo    Scrivi qui un breve testo per i nuovi visitatori che trovano il tuo sito web    grazie ai tuoi post di blog indicizzati su Google.   Rimani informato : Annulla iscrizione Iscriviti     Partecipa ai nostri canali social.     I nostri Blog News  Etichette  Archivi 2023 giugno1 febbraio1 2022 novembre1     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
16,.online blog,".online blog.   News | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello     News Scopri le ultime novità su TAKOBI e Odoo    Odoo Days Italia 2023  Odoo Days Italia 2023   Gli Odoo Days sono un appuntamento a cui non è possibile mancare e anche quest’anno abbiamo deciso di partecipare c...  Antonella Romanini         — giugno 2023         — 63                 visualizzazioni            Odoo 16 tra novità e aggiornamenti  Come ogni anno Odoo SA ci stupisce con moltissime novità, e in occasione dell’uscita di Odoo 16 (Ottobre 2022), l'elenco delle migliorie arriva a 48...  Antonella Romanini         — febbraio 2023         — 351                 visualizzazioni            Odoo Experience  Non è un mistero che il nostro TAKOBI si basi su Odoo, *software open source* che seguiamo fin dal 2008 quando si chiamava ancora OpenERP. Fin d...  TAKOBI Odoo         — novembre 2022         — 204                 visualizzazioni           Chi siamo    Scrivi qui un breve testo per i nuovi visitatori che trovano il tuo sito web    grazie ai tuoi post di blog indicizzati su Google.   Rimani informato : Annulla iscrizione Iscriviti     Partecipa ai nostri canali social.     I nostri Blog News  Etichette  Archivi 2023 giugno1 febbraio1 2022 novembre1     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
17,.online contactus,.online contactus.   Contact Us | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello    Inviaci un messaggio    Ti ricontatteremo entro 24 ore!    Nome  Numero di telefono  E-mail  Azienda  Oggetto  Richiesta   Accetto l' informativa sulla privacy.    Invia   TAKOBI s.r.l.  Centro Direzionale MilanofioriPalazzo A Scala 5 Piano IIAssago MI 20090Italia +390287178321 sales@takobi.it     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
18,.online prenota appuntamento,.online prenota appuntamento.   prenota-appuntamento | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello    Richiedi un appuntamento commerciale      I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
19,.online ,".online .   TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello    Odoo application suite Una soluzione web unica e completa di tutte le funzionalità necessarie per gestire, monitorare e far crescere il tuo business.  PRENOTA UN APPUNTAMENTO    Esperti Odoo dal 2008 Il nostro team vanta un'esperienza decennale su Odoo. CHI SIAMO    Odoo partners Siamo partner Odoo e ti possiamo offrire Odoo Enterprise: funzionalità avanzate, aggiornamenti di versione, Hosting.  Associazione Odoo Italia Partner dell'Associazione Odoo Italia, attivi partecipanti e sviluppatori della localizzazione italiana di Odoo (contabilità e fiscalità), ti possiamo accompagnare al meglio nell'implementazione di Odoo nella tua azienda.  Odoo Community Association Membri della Odoo Community Association, collaboriamo con i massimi esperti di Odoo nel mondo per rendere questo software più potente e diffuso.            Gestisci più efficacemente il tuo business Semplifica e rendi più efficiente la gestione della tua attività attraverso l’ottimizzazione dei processi e la collaborazione da remoto. Tieni sotto controllo il tuo business Monitora costantemente i tuoi risultati attraverso report e statistiche sulle tue vendite, costi, etc. Fai crescere il tuo business Fai crescere il tuo business attraverso strumenti efficaci di marketing e vendita online.      Lorenzo Battistini Ingegnere, programmatore e sviluppatore, è un grande appassionato e sostenitore del software open source. Partecipa attivamente allo sviluppo di Odoo, è membro del direttivo dell'Associazione Odoo Italia, membro delegato della Odoo Community Association e rappresentante del project steering committee OCA Italy. CONTRIBUTI ODOO  Mario Riva Ingegnere, da oltre 15 anni si occupa di formazione e consulenza. Attratto dal mondo open source, prima nell'ambito web e poi in quello ERP, dal 2008 segue progetti di consulenza su Odoo e intrattiene Lorenzo con le sue freddure.  Simone Rubino Appassionato di programmazione e amante dei software open source, che gli permettono di scoprire il funzionamento delle applicazioni fino all'OSSo, ha scoperto Python diversi anni fa e poco dopo Odoo: da allora non l’ha più lasciato. Tra sviluppi, birre e revisioni, contribuisce al diffondersi di Odoo anche collaborando con Odoo Italia e con la Odoo Community Association. CONTRIBUTI ODOO  Alfredo Vittoria Da oltre 18 anni si occupa di consulenza alle aziende per la promozione dei servizi e la gestione dei clienti attraverso software gestionali e di analisi dei dati. Scopre Odoo nel 2018 e lo fa diventare il suo sistema di riferimento. Da sempre sostiene che la crescita di una azienda sia legata alla capacità di sfruttare al meglio i propri dati.  Michael Baldassarre Fan scatenato di Excel, con 14 anni alle spalle in consulenza fiscale contabile ed analisi di bilancio in numerose PMI. Nel 2018 ha realizzato la quotazione di EdiliziAcrobatica Spa in AIM, mercato alternativo del capitale gestito da Borsa Italiana.  Alessandra D`Avino Ex-Bocconi, ex-Microsoft ed ex-Sony, da 12 anni si occupa di marketing e comunicazione di cui 8 trascorsi a Londra lanciando campagne pubblicitarie in tutta Europa e sorseggiando molto tè.   PRENOTA UN APPUNTAMENTO                                                              Precedente Successivo   I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
20,.online blog news 1 post odoo experience 1,".online blog news 1 post odoo experience 1.   Odoo Experience | TAKOBI Odoo             Home  Servizi  News  Contattaci       Carrello    11 novembre 2022 Odoo Experience L’esperienza ERP che modella il tuo business   Non è un mistero che il nostro TAKOBI si basi su Odoo, software open source che seguiamo fin dal 2008 quando si chiamava ancora OpenERP. Fin dalla nascita di TAKOBI, questa partnership, ci ha permesso di sviluppare personalizzazioni importanti per i nostri clienti e permettere loro di ottenere il massimo delle prestazioni dal nostro software. Come ogni anno, Odoo SA ha presentato, nel mese di  ottobre, una nuova versione del software durante la Odoo Experience. Negli ultimi anni questo appuntamento è diventato un evento in grande stile che, oltre a illustrare tutte le novità tecniche e funzionali di questo fantastico software, ha permesso a migliaia di partner, sviluppatori e appassionati, di incontrarsi in Belgio in una 3 giorni dal vivo. TAKOBI naturalmente era presente all’evento con tutto il suo team, alcuni in streaming, altri in presenza, e il nostro Simone ci ha raccontato le novità più importanti, le grandi aspettative e il clima che si respirava durante l’evento da cui è tornato carico e motivato. La Odoo experience di TAKOBI La testimonianza di Simone: “Alla Odoo Experience ho seguito parte dei talk che sono stati tenuti, in particolare ho seguito quelli riguardanti l’aspetto tecnico di Odoo, visto che in TAKOBI mi occupo dello sviluppo. Ho visto alcuni degli aggiornamenti che sono stati introdotti per velocizzare ulteriormente la nuova versione, come l’uso della cache nei template e i miglioramenti in OWL2. Altrettanto interessanti sono stati diversi talk di partner che hanno sviluppato nuove soluzioni basate su Odoo, implementando la loro applicazione in/con altri Framework (Vue), ma basandosi su Odoo come back-end. Degno di nota è stato il talk di Stephane Bidoul (CTO di ACSONE) che ha proposto di rendere Odoo un po’ più “tipizzato”, proposta che ha trovato particolare apprezzamento anche tra gli sviluppatori Odoo. Nell'implementazione attuale di Odoo, infatti, le variabili non hanno una tipologia assegnata (Es: stringa, numero, etc) e questo è possibile perché Python supporta i “tipi dinamici”.La proposta avanzata da Bidoul è di assegnare dei “tipi statici” alle variabili in modo che il codice risulti più facilmente interpretabile dallo sviluppatore e dagli strumenti di sviluppo/IDE. Infine, le serate della Odoo Experience sono sempre memorabili: diversi artisti e la The Rolling Release (ex Odoo band) hanno animato le serate, per portare un’occasione di lavoro in un vero momento di piacevole networking.      Oltre la Odoo experience, 2 giorni agli OCA Days Simone, sempre in cerca di soluzioni che migliorino la fruibilità di TAKOBI, è stato anche agli OCA DAYS di Liegi. OCA (odoo community association) è l’associazione che a livello mondiale si occupa di dare regole o coordinare i contributori che quotidianamente analizzano, sviluppano, testano e rilasciano nuove funzionalità su Odoo. “Agli OCA days ho principalmente lavorato sul OCA bot. OCA bot è un bot in github che aiuta i maintainer a gestire le PR dalla creazione, ad esempio taggando il responsabile del modulo modificato, alla fase di merge. Il codice di implementazione di OCA bot , permette di accedere a circa 30 issue aperte, ma solo 6 proposte di modifica (3 le ho aperte io durante l’evento). A parte l’aspetto tecnico, l’evento mi ha colpito per la sua inclusività. Personalmente ho partecipato senza conoscere quasi nessuno e ne sono uscito con una graditissima nuova rete contatti tra professionisti che sono stati in grado di accompagnarmi attraverso l’evento e le novità, con un sorriso e tanta competenza. Rebecca (la segretaria di OCA) mi ha subito accolto a braccia aperte, in seguito ho conosciuto il team di Numigi che mi ha coinvolto e reso partecipe di ogni iniziativa, poi Coopiteasy, Adhoc e tanti altri. Alcuni professionisti li avevo conosciuti solo virtualmente, tramite Github, ed è stato quindi interessante incontrarli dal vivo e dialogare finalmente faccia a faccia, senza filtri né tecnologia. Anche i grandi nomi del settore, come ad esempio Stéphane Bidoul, (che mantiene gran parte dell'infrastruttura OCA), sono stati molto disponibili e aperti al confronto. Ultimi, ma non per importanza, gli sviluppatori di WT-IO-IT, realizzatori del plugin di PyCharm, che ho incontrato durante questo evento e con i quali ci siamo riconosciuti grazie ad un recente scambio di segnalazioni.”  OCA Days  Partecipare agli eventi di settore è il punto di partenza per      migliorare e crescere L’importanza di partecipare a questi eventi è quindi evidente sia per conoscere le novità e le potenzialità a cui stiamo andando incontro, che per dare seguito ad un networking nato sulle piattaforme e che, concretizzato, diventa proficuo e motivante. Oggi possiamo certamente dire che come TAKOBI abbiamo la possibilità di generare progressive evoluzioni del nostro software e continueremo a farlo, principalmente per poter garantire ai clienti di disporre di aggiornamenti che permettano loro di lavorare al meglio delle possibilità offerte dal mercato.  Ci incontreremo alla prossima Odoo Experience? Noi ci saremo!      I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
